task_id,skill,difficulty,question,answer,answer_type,comparison_objects,comparison_edges,comparison_depth,query_distance,noise_edges,boolean_var_count,boolean_op_count,boolean_not_count,imp_var_count,imp_edge_count,imp_base_true_count,imp_chain_depth,constraint_objects,constraint_count,constraint_depth,ap_length,ap_step,ap_abs_step,mp_multiplier,mp_length,cycle_len,cycle_offset,cycle_total_len,mixed_op_len,mixed_seq_len,division_base,division_steps,ratio_k,ratio_mode,square_base,square_offset,square_mode,near_boundary_anchor,near_boundary_op,crossed_boundary
NUM-SQUARE-0,numerical,0,What is 5^2?,25,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,exact,,,
LOG-BOOL-0-2-1,logical,0,"A is True.
B is False.
What is: (B AND A)?",FALSE,boolean,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-COMP-3-4,logical,3,"D is larger than B.
 B is larger than A.
 C is larger than D.
 Is B larger than C?",no,yesno,4,3,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-BOOL-5-2-2,logical,5,"A is False.
B is True.
What is: ((A OR B) OR B)?",TRUE,boolean,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT-AP-0-4-5,pattern,0,"37, 42, 47, 52, ?",57,integer,,,,,,,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,
PAT-AP-1-4-5,pattern,1,"38, 35, 32, 29, ?",26,integer,,,,,,,,,,,,,,,,4,-3,3,,,,,,,,,,,,,,,,,
LOG-COMP-7-4,logical,7,"B is heavier than D.
 A is heavier than B.
 C is heavier than D.
 Is C heavier than B?",no,yesno,4,3,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-3,numerical,3,What is 9 + 3?,12,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,+,TRUE
LOG-IMP-10-4-4,logical,10,"C is True.
B is True.
If C is True, then B is True.
If C is True, then A is True.
If C is True, then D is True.
If B is True, then D is True.
Is D True?",yes,yesno,,,,,,,,,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,
PAT-CP-2-2-4,pattern,2,"7, 6, 7, 6, ?",7,integer,,,,,,,,,,,,,,,,,,,,,2,0,4,,,,,,,,,,,,
NUM-DIV-6,numerical,6,What is 500 divided by 50?,10,integer,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,
NUM-NEARBOUNDARY-8,numerical,8,What is 48 + 7?,55,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,+,TRUE
NUM-DIV-11,numerical,11,What is 540 divided by 90?,6,integer,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,
PAT-AP-4-4-5,pattern,4,"6, 2, -2, -6, ?",-10,integer,,,,,,,,,,,,,,,,4,-4,4,,,,,,,,,,,,,,,,,
LOG-CONSTRAINT-11-5-3,logical,11,"C is faster than A.
E is faster than B.
C is faster than D.
Is E faster than B?",yes,yesno,,,,,,,,,,,,,5,3,2,,,,,,,,,,,,,,,,,,,,
PAT-AP-5-5-7,pattern,5,"18, 11, 4, -3, -10, ?",-17,integer,,,,,,,,,,,,,,,,5,-7,7,,,,,,,,,,,,,,,,,
