timestamp,user_id,session_id,task_index,skill,task_id,answer_type,difficulty_before,difficulty_after,delta,difficulty_active_before,difficulty_active_after,difficulty_numerical_before,difficulty_logical_before,difficulty_pattern_before,difficulty_numerical_after,difficulty_logical_after,difficulty_pattern_after,question,answer,user_answer,is_correct,time_taken,expected_time,p_correct
2026-01-28T10:28:15.401988,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,0,logical,LOG-IMP-0-3-2,yesno,0,3,3,0,3,0,3,0,0,3,0,"A is True.
B is True.
If A is True, then C is True.
If C is True, then A is True.
Is C True?",yes,yes,1,6.052873134613037,6.085390403933965,0.36039319435714623
2026-01-28T10:28:18.721651,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,1,pattern,PAT-MP-0-4-2,integer,0,4,4,0,4,0,3,4,0,3,4,"3, 6, 12, 24, ?",48,48,1,3.313448667526245,8.88638731132419,0.39472677685962704
2026-01-28T10:28:21.467076,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,2,logical,LOG-CONSTRAINT-3-3-2,yesno,3,6,3,3,6,0,6,4,0,6,4,"C is left of B.
C is left of A.
Is B left of C?",no,no,1,2.7367382049560547,7.8468521276708625,0.7564926570260025
2026-01-28T10:28:26.193935,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,3,numerical,NUM-RATIO-INVERSE-0,integer,0,1,1,0,1,1,6,4,1,6,4,"15 -> 5, 24 -> ?",8,8,1,4.7205846309661865,3.170724053393301,0.7960360529831033
2026-01-28T10:28:30.305161,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,4,logical,LOG-COMP-6-4,yesno,6,9,3,6,9,1,9,4,1,9,4,A is taller than D. D is taller than C. Is C taller than A?,no,no,1,4.099308729171753,12.437960419598927,0.7268374300827798
2026-01-28T10:28:34.528899,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,5,pattern,PAT-MP-4-4-2,integer,4,7,3,4,7,1,9,7,1,9,7,"3, 6, 12, 24, ?",48,48,1,4.21699070930481,9.217198858558087,0.42722976372094396
2026-01-28T10:28:37.936953,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,6,pattern,PAT-MP-7-5-2,integer,7,10,3,7,10,1,9,10,1,9,10,"5, 10, 20, 40, 80, ?",160,160,1,3.4029996395111084,9.472551758992001,0.4520428510504749
2026-01-28T10:28:40.617390,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,7,numerical,NUM-DIV-1,integer,1,5,4,1,5,5,9,10,5,9,10,What is 5500 divided by 500?,11,11,1,2.675168991088867,4.894743837434962,0.1729760553937601
2026-01-28T10:28:44.248929,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,8,logical,LOG-IMP-9-4-3,yesno,9,12,3,9,12,5,12,10,5,12,10,"C is True.
If B is True, then D is True.
If A is True, then D is True.
If C is True, then A is True.
Is D True?",yes,yes,1,3.6258676052093506,6.630022043527737,0.43255601125616755
2026-01-28T10:28:47.937077,LIMOUS,aa8ea750-20a3-47d6-95da-08d141eb8d2e,9,pattern,PAT-AP-10-5-10,integer,10,13,3,10,13,5,12,13,5,12,13,"6, 9, 12, 15, 18, ?",21,21,1,3.682093858718872,5.728186506777827,0.4137758394796496
